title,url,is_paid,course_by,skills,cluster_predicted
Understanding Clinical Research: Behind the Statistics,https://www.coursera.org/learn/clinical-research,False,University of Cape Town, Big Data,0
Understanding Clinical Research: Behind the Statistics,https://www.coursera.org/learn/clinical-research,False,University of Cape Town, Business Analysis,0
Understanding Clinical Research: Behind the Statistics,https://www.coursera.org/learn/clinical-research,False,University of Cape Town, Business Psychology,0
Understanding Clinical Research: Behind the Statistics,https://www.coursera.org/learn/clinical-research,False,University of Cape Town, Cloud Computing,0
Understanding Clinical Research: Behind the Statistics,https://www.coursera.org/learn/clinical-research,False,University of Cape Town, Communication,0
Understanding Clinical Research: Behind the Statistics,https://www.coursera.org/learn/clinical-research,False,University of Cape Town, Computer Architecture,0
Understanding Clinical Research: Behind the Statistics,https://www.coursera.org/learn/clinical-research,False,University of Cape Town, Computer Vision,0
Understanding Clinical Research: Behind the Statistics,https://www.coursera.org/learn/clinical-research,False,University of Cape Town, Culture,0
Understanding Clinical Research: Behind the Statistics,https://www.coursera.org/learn/clinical-research,False,University of Cape Town, Data Analysis,0
Understanding Clinical Research: Behind the Statistics,https://www.coursera.org/learn/clinical-research,False,University of Cape Town, Data Management,0
Understanding Clinical Research: Behind the Statistics,https://www.coursera.org/learn/clinical-research,False,University of Cape Town, Decision Making,0
Understanding Clinical Research: Behind the Statistics,https://www.coursera.org/learn/clinical-research,False,University of Cape Town, Digital Marketing,0
Understanding Clinical Research: Behind the Statistics,https://www.coursera.org/learn/clinical-research,False,University of Cape Town, Entrepreneurship,0
Understanding Clinical Research: Behind the Statistics,https://www.coursera.org/learn/clinical-research,False,University of Cape Town, FinTech,0
Understanding Clinical Research: Behind the Statistics,https://www.coursera.org/learn/clinical-research,False,University of Cape Town, Financial Analysis,0
Understanding Clinical Research: Behind the Statistics,https://www.coursera.org/learn/clinical-research,False,University of Cape Town, Hardware Design,0
Understanding Clinical Research: Behind the Statistics,https://www.coursera.org/learn/clinical-research,False,University of Cape Town, Human Resources,0
Understanding Clinical Research: Behind the Statistics,https://www.coursera.org/learn/clinical-research,False,University of Cape Town, Leadership and Management,0
Understanding Clinical Research: Behind the Statistics,https://www.coursera.org/learn/clinical-research,False,University of Cape Town, Machine Learning,0
Understanding Clinical Research: Behind the Statistics,https://www.coursera.org/learn/clinical-research,False,University of Cape Town, Operating Systems,0
Understanding Clinical Research: Behind the Statistics,https://www.coursera.org/learn/clinical-research,False,University of Cape Town, Organizational Development,0
Understanding Clinical Research: Behind the Statistics,https://www.coursera.org/learn/clinical-research,False,University of Cape Town, Regulations and Compliance,0
Understanding Clinical Research: Behind the Statistics,https://www.coursera.org/learn/clinical-research,False,University of Cape Town, Security Engineering,0
Understanding Clinical Research: Behind the Statistics,https://www.coursera.org/learn/clinical-research,False,University of Cape Town, Software Engineering,0
Understanding Clinical Research: Behind the Statistics,https://www.coursera.org/learn/clinical-research,False,University of Cape Town, Software Engineering Tools,0
Understanding Clinical Research: Behind the Statistics,https://www.coursera.org/learn/clinical-research,False,University of Cape Town, Software Security,0
Understanding Clinical Research: Behind the Statistics,https://www.coursera.org/learn/clinical-research,False,University of Cape Town, System Security,0
Understanding Clinical Research: Behind the Statistics,https://www.coursera.org/learn/clinical-research,False,University of Cape Town, User Experience,0
Understanding Clinical Research: Behind the Statistics,https://www.coursera.org/learn/clinical-research,False,University of Cape Town, Benefits,0
Understanding Clinical Research: Behind the Statistics,https://www.coursera.org/learn/clinical-research,False,University of Cape Town, E-Commerce,0
Understanding Clinical Research: Behind the Statistics,https://www.coursera.org/learn/clinical-research,False,University of Cape Town, General Accounting,0
Understanding Clinical Research: Behind the Statistics,https://www.coursera.org/learn/clinical-research,False,University of Cape Town, Sales,0
Positive Psychiatry and Mental Health,https://www.coursera.org/learn/positive-psychiatry,False,The University of Sydney,Cloud Computing,1
Positive Psychiatry and Mental Health,https://www.coursera.org/learn/positive-psychiatry,False,The University of Sydney, Computer Networking,2
Positive Psychiatry and Mental Health,https://www.coursera.org/learn/positive-psychiatry,False,The University of Sydney, Network Security,1
Positive Psychiatry and Mental Health,https://www.coursera.org/learn/positive-psychiatry,False,The University of Sydney, Operating Systems,1
Positive Psychiatry and Mental Health,https://www.coursera.org/learn/positive-psychiatry,False,The University of Sydney, Security Engineering,1
Positive Psychiatry and Mental Health,https://www.coursera.org/learn/positive-psychiatry,False,The University of Sydney, System Security,1
Positive Psychiatry and Mental Health,https://www.coursera.org/learn/positive-psychiatry,False,The University of Sydney, Cloud Platforms,2
Positive Psychiatry and Mental Health,https://www.coursera.org/learn/positive-psychiatry,False,The University of Sydney, Programming Principles,1
